Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Spent,Living_Status,Children
0,44300.0,1,1,65,30,0,9,0,0,3,2,1,0,3,6,42,1,2
0,84835.0,0,0,0,189,104,379,111,189,218,1,4,4,6,1,1190,0,0
0,30372.0,1,1,33,15,0,12,7,3,7,3,2,0,3,7,44,0,2
1,33181.0,1,0,90,9,0,3,0,0,4,1,1,0,2,6,16,1,1
0,71113.0,0,1,95,495,33,255,11,33,8,4,6,7,9,4,835,1,1
0,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1443,1,1
1,69759.0,0,0,38,452,20,514,13,30,0,3,4,6,5,3,1029,0,0
0,72099.0,0,0,18,546,91,410,119,0,22,1,3,4,10,1,1188,1,0
1,60000.0,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,1277,0,1
0,38643.0,1,1,45,22,2,14,0,1,10,2,2,0,3,7,49,0,2
0,50737.0,0,1,61,78,0,11,0,0,10,1,2,0,4,6,99,1,1
1,68462.0,0,0,6,561,64,785,84,128,48,1,3,3,8,1,1670,1,0
1,65073.0,0,0,65,629,17,177,69,0,8,1,5,3,5,2,900,1,0
1,46681.0,0,2,52,269,15,69,15,19,38,2,4,6,4,5,425,1,2
0,78618.0,0,0,87,736,163,818,212,163,61,1,4,7,10,2,2153,1,0
1,62187.0,0,1,38,512,0,83,0,0,41,3,6,2,10,4,636,0,1
0,28442.0,2,0,53,19,3,10,11,8,6,3,2,1,4,4,57,1,2
1,37717.0,1,0,31,9,0,6,4,1,5,1,1,0,2,9,25,1,1
0,51479.0,1,1,67,247,8,160,6,8,65,7,6,3,6,7,494,1,2
0,54803.0,0,1,65,404,0,92,28,27,142,2,6,2,9,4,693,0,1
0,79530.0,0,0,64,333,0,815,129,42,29,1,4,10,11,2,1348,1,0
0,31615.0,1,0,82,2,3,20,6,11,9,2,2,0,3,7,51,0,1
0,72025.0,0,0,27,833,33,549,151,133,233,1,4,3,8,3,1932,1,0
1,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,990,0,1
2,35684.0,1,0,66,10,4,7,0,6,3,1,1,0,3,6,30,1,1
0,48178.0,1,1,69,159,4,45,6,2,38,6,5,1,4,8,254,1,2
1,29548.0,1,0,52,7,1,6,3,1,11,1,1,1,2,4,29,0,1
0,63810.0,0,1,45,977,12,253,16,12,101,4,4,3,12,8,1371,0,1
1,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,73,0,2
1,46098.0,1,1,86,57,0,27,0,0,36,4,3,2,2,8,120,0,2
0,22585.0,0,0,23,3,9,15,13,2,39,1,1,1,2,9,81,0,0
0,30279.0,1,0,13,10,4,14,4,4,1,1,1,0,3,8,37,0,1
1,66426.0,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,1377,1,1
0,30822.0,1,0,92,3,9,13,2,12,12,1,1,0,3,7,51,0,1
1,33581.0,2,0,38,11,0,5,0,0,1,1,1,0,2,8,17,1,2
0,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,22,1,1
0,27421.0,0,0,14,43,12,96,78,40,55,3,4,1,6,7,324,0,0
2,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,211,1,3
1,36143.0,1,0,33,12,0,1,0,0,6,1,0,1,2,3,19,0,1
0,10245.0,1,0,32,4,7,7,6,4,13,3,1,2,2,5,41,0,1
1,43795.0,0,1,11,314,11,53,4,3,107,3,7,3,4,7,492,1,1
0,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,1005,1,1
0,38823.0,0,1,56,70,0,11,2,8,23,1,2,1,3,6,114,1,1
1,83664.0,1,1,57,866,21,151,28,21,86,3,2,2,12,5,1173,0,2
0,90300.0,0,0,7,594,134,786,33,134,57,0,5,6,8,1,1738,1,0
1,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,222,1,1
0,74293.0,0,0,66,375,152,335,93,91,81,1,5,4,6,2,1127,0,0
1,51012.0,0,0,86,102,9,63,2,9,24,1,4,1,4,6,209,1,0
1,70777.0,0,1,80,554,35,113,0,7,78,3,5,3,12,3,787,1,1
1,68682.0,0,0,56,919,0,505,99,30,45,1,4,9,10,2,1598,1,0
0,43824.0,1,1,18,96,1,42,12,3,32,4,3,1,4,8,186,1,2
0,15345.0,1,0,51,5,2,16,3,2,19,2,1,1,2,8,47,1,1
0,23442.0,1,0,71,2,0,6,8,6,5,1,1,0,3,7,27,0,1
2,14515.0,1,0,71,6,4,9,6,36,35,4,2,2,3,7,96,1,1
2,31395.0,1,1,80,23,1,25,0,8,7,4,2,1,3,6,64,0,2
0,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,1040,1,0
0,42373.0,1,1,83,67,5,61,3,8,19,5,2,1,5,5,163,0,2
0,30507.0,0,0,29,65,36,74,38,20,110,1,5,1,4,7,343,1,0
1,55521.0,1,2,11,416,0,26,0,0,4,9,6,3,6,7,446,0,3
0,48006.0,1,1,55,23,0,11,3,2,2,1,1,0,3,6,41,1,2
1,27213.0,1,0,19,19,3,26,10,9,3,3,2,0,4,8,70,0,1
1,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,272,0,2
1,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,46,1,1
0,50437.0,0,2,28,370,9,92,6,9,4,3,7,1,8,7,490,1,2
2,23616.0,1,0,76,4,22,11,3,7,32,2,3,0,3,8,79,0,1
0,53858.0,0,1,50,407,53,221,58,150,26,4,4,3,6,4,915,1,1
1,66465.0,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,1485,1,1
0,46923.0,1,0,90,85,44,54,102,78,6,3,5,1,7,7,369,0,1
0,75072.0,0,1,83,583,34,309,0,22,125,2,5,4,8,3,1073,1,1
1,75865.0,0,0,73,483,0,591,156,0,12,1,3,5,10,1,1242,1,0
2,19789.0,1,0,24,2,5,9,28,6,28,3,2,1,3,5,78,1,1
0,80134.0,0,0,11,966,26,282,52,26,26,1,2,7,11,5,1378,1,0
0,91065.0,0,0,33,822,114,108,179,137,114,1,7,9,9,3,1474,0,0
1,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,751,1,2
1,37401.0,1,0,14,19,3,19,3,1,3,2,2,0,3,7,48,1,1
0,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,45,1,1
1,18492.0,1,0,75,2,2,2,2,1,1,1,1,0,2,8,10,1,1
1,82584.0,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,1435,1,0
1,93027.0,0,0,77,1285,42,716,55,0,21,0,7,10,5,2,2119,1,0
0,48686.0,1,2,8,10,0,7,2,0,1,1,1,0,2,8,20,1,3
0,92910.0,0,0,42,551,137,792,179,103,33,1,6,7,13,1,1795,1,0
0,75433.0,1,0,28,800,0,297,0,34,57,2,2,5,10,6,1188,1,1
2,10404.0,1,0,52,2,2,11,10,6,12,2,1,0,4,5,43,1,1
0,61314.0,0,1,1,378,0,189,97,172,172,2,5,5,12,3,1008,1,1
1,84865.0,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,1688,0,0
0,42387.0,1,0,42,235,0,235,19,4,191,5,8,1,7,8,684,1,1
2,67309.0,1,1,76,515,47,181,149,95,95,15,9,6,9,7,1082,1,2
0,75236.0,0,1,27,438,66,400,12,38,114,1,8,3,13,4,1068,1,1
0,30015.0,1,0,28,25,0,22,2,3,5,2,1,0,4,5,57,0,1
1,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,46,1,1
0,67272.0,0,1,12,357,35,271,28,28,14,3,6,2,12,5,733,0,1
1,51529.0,0,1,14,400,4,35,6,0,22,2,9,1,5,8,467,0,1
1,32011.0,1,0,89,99,0,15,2,1,5,3,2,1,4,7,122,1,1
2,7500.0,1,0,96,1,11,5,4,6,9,2,2,0,3,8,36,1,1
0,28691.0,1,0,56,5,4,13,8,0,4,1,1,0,3,8,34,1,1
1,56223.0,0,1,72,77,28,31,16,0,4,2,2,1,5,4,156,1,1
0,18100.0,0,0,14,3,1,2,4,3,1,1,0,0,3,5,14,1,0
0,30279.0,1,0,13,10,4,14,4,4,1,1,1,0,3,8,37,0,1
2,20130.0,0,0,99,0,6,3,7,6,12,1,1,0,3,8,34,1,0
0,23295.0,0,0,72,0,0,1,2,12,5,1,1,0,2,8,20,0,0
1,42618.0,1,0,92,76,14,74,13,5,10,2,5,0,4,8,192,0,1
0,81246.0,0,0,87,398,190,537,61,156,37,1,4,5,7,1,1379,0,0
0,24027.0,1,0,7,14,7,11,11,0,5,2,2,0,3,8,48,1,1
1,55707.0,0,1,91,208,7,82,30,66,35,2,3,2,9,3,428,1,1
0,57959.0,0,1,71,430,16,322,43,24,33,5,4,7,11,3,868,0,1
0,56796.0,0,1,24,656,38,161,62,47,37,3,8,9,7,7,1001,1,1
1,36230.0,1,0,17,14,2,30,8,2,3,1,2,0,4,5,59,0,1
2,70829.0,1,1,87,141,70,106,72,19,23,2,4,2,8,3,431,1,2
0,65991.0,0,1,21,507,19,364,25,47,9,3,9,5,10,7,971,1,1
0,38988.0,1,2,90,164,24,103,12,3,42,7,5,1,6,8,348,1,3
2,89572.0,0,0,44,606,24,974,197,194,64,1,7,7,9,4,2059,0,0
1,42207.0,1,0,71,116,11,72,3,17,46,4,4,1,5,6,265,1,1
0,50300.0,0,1,52,143,15,60,24,23,5,2,2,1,8,2,270,1,1
2,66664.0,0,0,78,398,96,447,220,96,32,1,5,7,6,3,1289,1,0
0,60597.0,0,1,2,522,0,257,32,16,66,4,2,2,8,7,893,1,1
0,70165.0,0,0,60,161,0,253,199,191,122,1,3,7,11,1,926,0,0
1,50520.0,0,1,25,112,0,6,2,1,14,2,3,1,3,6,135,0,1
0,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1495,1,0
0,33183.0,1,0,46,7,5,39,17,15,37,2,4,0,3,7,120,1,1
1,66582.0,0,0,83,789,25,420,16,38,0,1,2,8,9,1,1288,0,0
1,75261.0,0,0,17,1239,17,413,23,34,17,1,5,6,5,2,1743,1,0
0,31880.0,1,0,13,4,1,5,2,0,3,1,1,0,2,8,15,0,1
0,53790.0,0,2,86,335,42,127,28,5,5,3,7,2,8,6,542,1,2
1,49269.0,1,0,92,639,8,166,11,8,58,3,7,3,12,7,890,1,1
0,61456.0,0,1,47,563,76,384,84,192,89,4,6,10,13,4,1388,1,1
0,37406.0,1,0,18,2,0,8,2,2,3,1,1,0,2,8,17,1,1
1,56937.0,1,0,81,746,8,125,11,8,8,7,8,6,9,6,906,1,1
0,38415.0,1,1,91,22,1,13,4,0,4,2,1,0,3,7,44,1,2
0,20518.0,1,0,58,4,1,6,4,1,9,1,1,1,2,5,25,0,1
0,62503.0,0,1,40,478,0,193,110,75,117,4,8,3,11,5,973,1,1
1,41644.0,1,1,67,20,3,4,2,0,2,2,1,0,3,3,31,0,2
1,55842.0,0,1,19,451,0,39,0,4,24,1,7,1,8,5,518,1,1
1,62010.0,0,1,93,371,22,39,6,0,92,4,6,2,7,5,530,1,1
0,41124.0,1,0,41,281,7,84,15,0,119,7,7,3,4,8,506,1,1
1,38961.0,1,0,60,19,7,19,0,1,24,1,2,1,2,7,70,1,1
1,37760.0,1,0,54,26,3,13,2,10,0,1,2,0,3,6,54,0,1
0,32233.0,1,0,26,138,15,35,25,11,72,2,6,2,2,9,296,0,1
0,43057.0,0,1,30,213,2,44,0,2,5,4,4,2,5,5,266,1,1
1,83151.0,0,0,93,407,28,100,120,74,18,1,5,9,4,3,747,1,0
1,78825.0,0,0,35,483,74,114,169,37,18,1,5,10,13,3,895,0,0
1,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,1053,1,1
0,60093.0,0,1,92,502,12,109,16,6,90,2,7,2,10,6,735,1,1
0,14045.0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,20,1,1
2,28457.0,0,0,96,24,1,108,29,29,14,1,4,1,4,8,205,0,0
1,78952.0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,2092,1,1
0,46310.0,1,0,99,185,2,88,15,5,14,2,6,1,5,8,309,0,1
0,76005.0,0,0,72,983,20,389,240,50,40,1,3,5,13,6,1722,1,0
1,58308.0,0,1,77,691,0,69,10,0,130,4,2,6,3,8,900,0,1
1,55614.0,0,0,85,504,13,131,8,0,26,1,9,4,6,7,682,0,0
1,59432.0,0,1,88,317,25,265,25,19,12,3,5,3,11,5,663,0,1
0,55563.0,0,1,22,29,1,9,2,0,2,1,2,0,3,3,43,0,1
1,78642.0,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,1816,1,1
1,67911.0,0,1,63,529,0,356,63,28,0,3,6,7,11,3,976,1,1
0,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,746,1,0
0,27203.0,1,1,92,13,2,21,4,0,24,2,1,1,2,8,64,1,2
1,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,32,1,1
2,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,263,1,0
1,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,1445,1,1
1,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,46,1,1
0,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,1210,0,0
0,65665.0,0,1,77,225,162,387,106,36,29,1,5,10,8,3,945,1,1
0,81217.0,0,0,77,493,70,324,146,40,84,1,3,7,11,1,1157,0,0
0,34935.0,0,0,71,34,4,66,3,10,20,1,2,1,4,7,137,1,0
0,61250.0,0,1,49,382,138,65,60,26,59,6,5,2,12,5,730,0,1
1,39665.0,1,0,97,127,1,56,0,1,31,3,4,2,3,7,216,1,1
0,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,943,0,1
0,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,347,1,2
1,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,1924,1,0
1,44124.0,0,1,62,284,0,55,0,6,52,4,6,2,5,8,397,1,1
1,81169.0,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,2089,0,0
0,36443.0,1,1,9,65,0,46,4,3,20,4,3,1,3,8,138,1,2
0,26095.0,1,0,77,11,7,9,3,1,11,1,1,0,3,7,42,0,1
0,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,777,1,0
1,80184.0,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,1902,1,0
0,30630.0,1,1,67,27,1,12,2,0,10,2,2,0,3,7,52,0,2
1,73454.0,0,0,95,982,73,351,56,14,175,1,2,4,6,5,1651,0,0
0,42691.0,0,0,48,179,2,64,38,17,58,1,5,1,6,5,358,1,0
0,70503.0,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,1727,1,0
0,25545.0,1,0,35,32,1,64,16,12,85,3,2,2,3,6,210,1,1
0,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,42,1,1
1,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,1291,1,0
1,50353.0,0,0,72,141,15,153,67,31,35,1,4,4,6,3,442,1,0
0,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,1895,0,0
1,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,411,1,2
2,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,521,0,1
0,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,1168,0,1
1,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,493,1,2
0,65316.0,1,1,65,112,6,92,3,9,38,2,3,2,5,4,260,1,2
0,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,46,0,1
1,47352.0,0,1,70,172,12,112,8,0,15,4,6,1,5,7,319,1,1
0,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,96,1,1
0,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,1062,0,0
2,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,232,1,1
1,22944.0,1,0,67,19,3,19,4,5,26,3,3,0,3,7,76,0,1
2,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,54,1,1
0,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,201,0,1
1,42710.0,1,0,38,252,3,42,4,3,102,2,4,5,3,6,406,0,1
1,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,1919,1,0
0,54058.0,0,1,56,198,18,252,32,108,54,2,4,6,8,3,662,1,1
2,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,41,1,1
0,85620.0,0,0,68,416,46,925,60,107,46,1,3,6,4,1,1600,0,0
0,47850.0,1,0,72,42,7,43,20,12,10,1,3,0,4,6,134,1,1
0,19514.0,1,1,47,14,3,21,2,1,28,4,3,1,2,8,69,1,2
1,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,21,1,2
2,39548.0,1,1,87,15,4,10,3,4,18,2,1,1,3,3,54,0,2
0,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,91,0,1
1,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,526,0,1
0,22419.0,0,0,74,30,3,47,19,21,42,1,3,2,2,8,162,1,0
1,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,1008,1,0
0,43462.0,1,1,50,90,17,97,15,6,15,6,4,1,5,8,240,1,2
1,54880.0,1,0,57,308,85,137,102,45,118,2,6,2,11,5,795,0,1
0,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,1772,1,0
2,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,64,1,0
0,87771.0,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,1957,1,1
0,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,78,1,1
0,81741.0,0,0,75,249,153,940,58,134,38,0,6,6,7,2,1572,0,0
1,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,795,1,1
2,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,889,1,1
1,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,331,0,1
1,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,265,1,1
0,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,1065,0,1
1,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,11,1,2
0,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,21,0,1
0,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,17,1,2
0,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,369,1,1
1,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,38,1,2
2,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,177,0,1
1,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,279,1,1
1,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,62,1,1
1,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,1230,1,1
0,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,182,1,2
0,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,49,1,2
1,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,75,1,2
1,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,227,1,2
1,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,215,1,2
0,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,444,1,1
2,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,47,1,2
1,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,143,1,0
0,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,55,1,1
2,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,63,1,2
0,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1867,0,0
1,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,611,1,1
0,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,473,1,1
0,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,55,1,0
1,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,81,0,1
1,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,2086,1,0
1,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,1478,0,0
0,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,49,1,1
1,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,382,1,0
1,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,69,1,1
0,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,67,0,1
1,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,30,1,2
2,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,63,1,1
0,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,79,1,1
0,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,42,0,1
0,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,819,1,1
0,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,1151,0,0
1,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,594,1,2
1,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,129,1,2
1,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,213,0,1
0,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,67,0,1
0,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,28,0,3
2,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,45,1,1
0,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,1193,1,0
1,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,268,0,0
1,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,266,0,0
2,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,37,1,1
0,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,37,1,3
1,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,882,0,0
0,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,373,1,2
1,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,35,0,3
1,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,107,1,2
0,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,42,0,2
1,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,326,1,1
1,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,404,1,1
0,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,95,0,0
0,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,939,0,0
2,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,33,0,1
2,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,981,1,0
0,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,36,1,1
0,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,1237,0,1
0,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,1825,1,1
1,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,103,0,2
0,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,191,0,1
1,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,1586,1,1
1,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,963,1,0
2,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,889,1,1
2,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,93,0,0
0,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,1587,0,0
0,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,16,0,3
0,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,1375,0,0
0,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,393,1,1
1,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,1477,0,1
0,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1179,1,1
0,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,1005,1,1
1,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,1348,1,0
1,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,1307,0,1
0,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,486,0,1
1,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,2252,1,0
1,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,235,1,2
0,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,1724,1,0
1,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,235,0,1
1,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,1092,1,1
0,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,599,1,1
1,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,2008,0,0
0,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,48,1,1
0,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,1174,1,1
1,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,67,1,1
0,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,365,0,1
0,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,6,0,0
0,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,165,1,1
2,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,210,1,0
1,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,1095,1,1
1,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,223,0,3
0,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,597,1,1
0,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,22,1,1
0,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,1064,0,1
2,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,74,1,0
1,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,26,1,0
0,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,60,1,0
1,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,20,1,1
2,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,59,0,1
1,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,34,1,1
2,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,198,1,2
1,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,1048,1,1
1,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,574,0,2
0,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,1029,0,1
0,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,670,1,1
1,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,990,0,1
0,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,11,1,2
1,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,1241,1,1
0,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,576,0,0
2,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,172,1,1
1,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,664,0,0
0,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,928,0,1
